Lat,Lon,Address
18.20922,76.04253,OSM001CBSI0OSD Microwave WTR BldgDnyaneshwar Mandir Osmanabad Ta. Dist Osmanabad Pin-413501
18.18695,76.04053,OSM002CBSI0OSD_TELE-EXGE Telephone Bhavan Samata Colony Osmanabad.
18.57731,76.02254,OSM003UBSI0KLM Telephone Bhavan Kallam Ta Kallam Dist Osmanabad Pin-413507
17.83752,76.62833,OSM004UBSI0ORG Telephone bhavan Omerga Ta Omerga Dist Osmanabad Pin-413606
17.8237,76.32371,OSM005RBSI0TJR_JALKOT Telephone Exge Jalkot Tq Tuljapur Dist Osmanabad
18.01948,76.06812,OSM006CBSI0OSD Microwave Bldg Tuljapur Ta Tuljapur Dist Osmanabad Pin-413601
18.45717,75.66222,OSM007RUOO9BHM Telephone Echange Bhoom Ta. Bhoom. Dist Osmanabad Pin-413504
18.2678,75.45085,"OSM008RUOO9PRD,Telephone Exchange Paranda Ta Paranda Dist Osmanabad Pin - 413502"
18.5463,75.75919,"OSM009RBSI1BHM,Telephone Exchange Washi Ta Bhoom Dist Osmanabad Pin-413503"
18.3935,75.87056,OSM010RBSI1KLM_YERMALA Telephone ExgeYermala Tq Kallam Dist Osmanabad
18.3743,76.09642,"OSM011RBSI1OSD,Telephone office Terna nagar Ta. Dist Osmanabad Pin-413580"
17.98448,76.31783,OSM012RBSI1ORG Telephone office Lohara Ta Lohara Dist Osmanabad Pin-413608
18.17941,76.04017,"OSM013CNBI1OSD_MAULI-CHOWK,C/o Patil Bldg,Mauli Chowk,Osmanabad"
18.0953,76.1601,"OSM014RBSI3OSD_KESHEGAON,Telephone Exge,Keshegaon Tq & Dist Osmanabad"
18.31639,76.13389,"OSM015RBSI3OSD_TER-EXGE,Telephone Exge , Ter, Tq & Dist Osmanabad"
17.88975,76.14014,OSM016RBSI3TJR_ARALI Telephone Exge Arali Tq Tuljapur Dist Osmanabad
17.90228,76.5377,OSM017RBSI3ORG_BALSUR Telephone Exge Balsur Tq Omerga Dist Osmanabad
17.89569,76.38878,OSM018RBSI3ORG Telephone office Jewali Ta Lohara Dist Osmanabad Pin-413612
18.62484,75.59747,"OSM019RBSI3BHM, Telephone Exchange,A/P-_IEET,Tal- Washi,Dist-Osmanabad,maharashtra."
18.36447,75.42091,OSM020RBSI3PRD_SONARI Telephone Exge Sonari Tq Paranda Dist Osmanabad
18.14583,76.19419,OSM021RBSI3OSD_BEMBALI Telephone ExgeBembaliTq & Dist Osmanabad
18.44156,75.83266,OSM022RBSI3BHM_TERKHEDA Telephone Exge Terkheda Tq Washi Dist Osmanabad
18.1552,76.05844,"OSM023CBSI3OSD_RSU-EXGE,RSU Telephone Exge,Tuljapur Road,Osmanabad"
18.20095,76.04086,"OSM024CNBI3OSD_CENTRAL-BUILDING,C/o Deshmane Bldg,Ramnagar,Osmanabad"
18.18574,76.04443,OSM025CNBI3OSD_ADMIN-BUILDING O/o GMTeleocm Sanja RoadOsmanabad
18.18841,76.03098,"OSM026CNBI3OSD_BARSHI-NAKA,C/oPawar Bldg,Barshi Naka Corner,Osmanabad"
18.07498,76.23946,OSM027RBSI3OSD_PATODA Telephone Exge Patoda Tq & Dist Osmanabad
18.21333,75.95061,OSM028RNBI3OSD_AMBEJAWALGA Telephone Exge BldgAmbejawalga Tq & Dist Osmanabad
18.19269,76.26381,OSM029RBSI3OSD_PADOLI-A Telephone ExgePadoli-A Tq & dist Osmanabad
18.00349,76.07254,OSM030UNBI3TJR_PUJARIMANDAL Tuljapur-2C/o Pujari Mandal Opp ST Stand TuljapurDist Osmanabad
17.83939,75.96136,"OSM031RBSI3TJR_TAMALWADI,Telephone Exge Tamalwadi Tq Tuljapur Dist Osmanabad"
17.81978,76.26083,"OSM032RBSI3TJR,Telephone office Naldurg Ta Tuljapur Dist Osmanabad Pin-413602"
17.96134,75.88858,OSM033RBSI3TJR_KATI Telephone Exge Kati Tq Tuljapur Dist Osmanabad
17.77861,76.16389,OSM034RNBI3TJR_BABALGAON Near Telephone
